Client IP,Timestamp,Request,Response Status Code,Referer,User Agent
199.128.73.173,2024-03-16 23:51:12.269766,POST categories/wp-content,404 (Not Found),http://www.ferguson.com/categories/maincategory.asp,Mozilla/5.0 (compatible; MSIE 5.0; Windows CE; Trident/4.1)
42.158.132.167,2024-02-20 11:59:55.594171,PUT app/categories,404 (Not Found),,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/56.0.886.0 Safari/531.0"
129.170.147.191,2024-02-24 05:58:58.167582,POST tags/wp-content,404 (Not Found),http://www.thomas.biz/categoriesmain.php,Opera/8.55.(Windows NT 10.0; fy-DE) Presto/2.9.166 Version/10.00
130.76.250.9,2024-01-18 06:57:50.000133,PUT main,404 (Not Found),,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/46.0.845.0 Safari/531.0"
219.216.147.102,2024-02-22 15:35:02.544698,GET app/search/list,200 (OK),http://www.peters.com/category/tagabout.html,Opera/8.61.(X11; Linux i686; am-ET) Presto/2.9.187 Version/12.00
28.208.205.23,2024-01-23 21:56:47.839157,GET explore/posts/category,404 (Not Found),https://brown.org/blog/search/blogabout.html,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/4.0)
187.29.32.148,2024-01-24 04:59:41.735244,GET wp-content/tags,404 (Not Found),,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/535.9.4 (KHTML, like Gecko) Version/5.0.3 Safari/535.9.4"
167.127.136.206,2024-02-23 11:12:43.395883,GET posts/main,500 (Internal Server Error),http://www.cox.biz/list/mainindex.html,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/534.23.3 (KHTML, like Gecko) Version/4.0.3 Safari/534.23.3"
76.127.217.14,2024-01-01 02:53:26.214737,GET app/blog,404 (Not Found),,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; mn-MN) AppleWebKit/531.6.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6531.6.1"
189.3.239.54,2024-01-19 04:14:35.391487,GET search/categories/explore,200 (OK),,"Mozilla/5.0 (Linux; Android 3.2.5) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/60.0.807.0 Safari/531.2"
175.180.47.253,2024-03-07 00:08:30.360449,POST blog/main/app,200 (OK),,Opera/8.85.(X11; Linux i686; vi-VN) Presto/2.9.162 Version/10.00
83.34.4.92,2024-02-17 13:13:05.613283,PUT main/explore/wp-content,500 (Internal Server Error),,"Mozilla/5.0 (Windows NT 5.0) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/55.0.889.0 Safari/534.1"
