Client IP,Timestamp,Request,Response Status Code,Referer,User Agent
82.83.176.24,[18/Mar/2024:06:34:44 +0000],GET categories/list,500 (Internal Server Error),http://allen-martinez.com/category/list/categoriesterms.php,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/5.1)
34.68.118.167,[30/Jan/2024:19:51:33 +0000],POST main/category,500 (Internal Server Error),,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/535.10.3 (KHTML, like Gecko) Version/5.0.2 Safari/535.10.3"
139.136.155.249,[14/Mar/2024:17:08:07 +0000],PUT tags/tag/tags,200 (OK),https://www.gross-miller.com/category/tag/wp-contentpost.html,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/3.1)
30.133.189.239,[24/Jan/2024:20:08:11 +0000],GET search/explore,200 (OK),,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) FxiOS/14.6v7980.0 Mobile/75F196 Safari/535.1"
18.122.43.145,[28/Feb/2024:12:18:40 +0000],POST search/tag/tag,404 (Not Found),https://cherry.biz/posts/listmain.htm,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/534.36.4 (KHTML, like Gecko) Version/4.0.3 Safari/534.36.4"
193.162.35.235,[21/Jan/2024:20:07:38 +0000],PUT app,200 (OK),https://www.richardson-shaw.com/tagspost.html,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/16.0p8610.0 Mobile/71U709 Safari/532.0"
81.13.133.244,[20/Feb/2024:03:32:25 +0000],PUT tags/list,500 (Internal Server Error),http://brown-cuevas.com/category/tagslogin.jsp,"Mozilla/5.0 (Linux; Android 1.6) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/60.0.876.0 Safari/531.1"
109.146.143.38,[21/Jan/2024:06:14:04 +0000],DELETE category/tag/tags,404 (Not Found),,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_2 rv:5.0; hne-IN) AppleWebKit/535.42.5 (KHTML, like Gecko) Version/5.0.4 Safari/535.42.5"
165.204.8.251,[06/Mar/2024:10:53:20 +0000],PUT wp-content/category/explore,404 (Not Found),,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_6 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) CriOS/37.0.813.0 Mobile/86C929 Safari/533.0"
45.202.70.51,[25/Jan/2024:20:14:26 +0000],PUT categories/tags,500 (Internal Server Error),https://www.johnson.com/tags/wp-contentlogin.html,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_1 rv:5.0; wae-CH) AppleWebKit/534.32.6 (KHTML, like Gecko) Version/5.0.1 Safari/534.32.6"
