CustomerID,TransactionID,TransactionDate,Amount,ProductCategory,Age,Gender,Income,Location,PageVisits,TimeSpentOnSite,PurchaseCount
634,9347,2023-10-28,323.32,Electronics,28,Female,123301,Chicago,2,103,5
33,8667,2023-11-11,130.0,Electronics,73,Male,147744,Chicago,7,8,8
335,1104,2023-12-23,341.58,Home & Garden,65,Male,32196,Chicago,25,75,8
521,1401,2023-04-15,299.34,Electronics,69,Male,83366,Houston,27,27,4
571,9367,2023-09-01,55.91,Electronics,76,Male,66691,New York,7,6,4
103,3426,2023-10-10,285.01,Home & Garden,70,Female,68100,Houston,7,19,4
431,7886,2023-11-04,118.02,Home & Garden,49,Female,74404,Chicago,28,76,10
163,5578,2023-10-04,406.62,Electronics,41,Male,147771,Houston,11,96,4
106,7358,2023-10-23,352.09,Clothing,76,Female,120402,New York,19,116,7
817,7122,2023-05-24,86.18,Clothing,30,Male,54910,New York,23,36,2
803,9224,2023-03-25,55.45,Electronics,78,Female,25978,New York,16,10,8
175,3849,2023-07-26,425.27,Home & Garden,48,Female,52491,Los Angeles,14,64,7
50,4177,2023-08-15,405.49,Home & Garden,39,Female,99485,New York,6,68,9
774,7428,2023-06-14,272.75,Clothing,44,Male,34456,Los Angeles,15,118,10
909,1914,2023-09-27,280.5,Home & Garden,80,Female,123508,Los Angeles,4,33,10
955,9050,2023-06-30,292.9,Home & Garden,44,Male,146399,Los Angeles,15,116,6
805,6324,2023-10-26,32.45,Electronics,35,Female,38356,New York,18,103,4
510,2585,2023-09-04,492.76,Electronics,80,Male,84151,Chicago,8,85,7
440,5282,2024-02-28,196.26,Clothing,29,Female,35998,Houston,14,5,7
875,3697,2023-12-25,89.7,Clothing,33,Male,95041,Houston,21,17,6
325,3816,2023-11-09,338.39,Home & Garden,29,Male,146467,Chicago,11,84,4
68,2292,2024-02-06,308.47,Electronics,55,Male,133344,New York,23,76,1
511,9529,2023-08-26,90.07,Clothing,48,Female,73281,Los Angeles,8,87,3
51,1983,2023-08-24,494.87,Home & Garden,71,Male,98017,Houston,5,16,10
707,2310,2023-11-18,345.46,Electronics,74,Male,64147,Chicago,22,45,8
520,8200,2023-10-29,412.68,Clothing,68,Female,116079,Los Angeles,8,79,9
662,6209,2023-07-22,141.19,Electronics,50,Female,121297,Los Angeles,7,54,5
59,7793,2023-03-24,114.19,Clothing,48,Female,121296,Los Angeles,20,86,7
570,7194,2023-11-07,443.49,Home & Garden,65,Female,57425,Chicago,9,48,5
971,1185,2023-04-29,80.01,Electronics,20,Male,127060,Los Angeles,27,59,10
382,7207,2023-03-25,375.04,Home & Garden,49,Female,20421,Los Angeles,30,30,4
617,1192,2023-11-14,376.04,Clothing,33,Female,99462,Chicago,29,69,5
802,7003,2023-04-12,187.38,Electronics,23,Female,121544,Los Angeles,26,14,4
763,7061,2023-12-30,54.55,Electronics,49,Male,147146,Los Angeles,10,88,4
425,3138,2023-06-29,84.89,Electronics,54,Female,80888,Chicago,11,93,5
466,1036,2023-05-20,302.24,Clothing,24,Female,65523,Chicago,2,32,3
179,3888,2024-01-08,301.99,Clothing,69,Female,35515,Chicago,23,82,6
212,8301,2023-03-23,485.83,Electronics,57,Male,102937,New York,17,24,7
341,6758,2024-01-07,344.04,Home & Garden,33,Female,62018,Houston,15,25,6
783,3406,2023-03-21,386.61,Clothing,38,Male,107116,Chicago,20,70,8
627,5650,2023-10-31,153.82,Electronics,61,Female,44556,Chicago,16,65,8
864,3066,2024-02-05,11.59,Home & Garden,33,Female,57942,Houston,24,103,6
806,1089,2023-06-30,486.23,Electronics,54,Male,52512,Chicago,7,86,6
249,4707,2024-03-05,436.55,Clothing,56,Male,134836,Chicago,10,32,4
850,2546,2024-02-04,84.89,Electronics,59,Male,46956,Houston,8,71,5
730,1089,2024-03-17,303.48,Clothing,64,Male,118424,Houston,13,45,10
94,2982,2023-09-09,64.82,Clothing,25,Female,83989,Chicago,9,109,3
935,1118,2024-01-15,127.33,Electronics,24,Male,68608,New York,27,47,9
520,8975,2023-05-12,51.97,Clothing,64,Male,139783,New York,28,105,3
182,5354,2023-04-04,489.21,Home & Garden,55,Male,110160,New York,14,25,5
146,1289,2024-03-07,72.91,Clothing,38,Male,81576,New York,30,90,10
311,9154,2024-02-06,139.88,Home & Garden,49,Female,111677,Los Angeles,23,53,10
629,7542,2023-12-13,482.54,Home & Garden,20,Male,127899,New York,3,55,2
593,2139,2024-01-13,359.34,Clothing,63,Female,133841,New York,4,55,6
197,5936,2024-03-11,224.67,Home & Garden,49,Female,60323,Houston,14,36,4
874,5116,2023-04-30,69.29,Electronics,49,Male,37520,Los Angeles,26,22,7
141,1238,2023-08-16,175.66,Home & Garden,80,Male,28281,Chicago,1,99,5
891,5827,2023-06-24,298.34,Electronics,63,Male,79186,Chicago,23,49,3
492,8083,2024-01-19,356.84,Electronics,79,Male,23893,Houston,2,25,2
17,5910,2023-12-06,43.03,Electronics,22,Female,131013,Chicago,4,12,8
493,9525,2023-06-09,44.72,Electronics,40,Female,22677,Houston,16,28,2
755,2810,2024-01-30,337.8,Electronics,35,Male,52685,Los Angeles,29,54,5
473,8481,2023-06-09,364.44,Home & Garden,50,Female,69584,Los Angeles,30,79,3
564,4787,2023-10-18,129.07,Clothing,77,Female,76393,Houston,20,97,9
667,4666,2023-04-03,103.3,Electronics,56,Female,113109,New York,11,114,8
981,3244,2023-11-30,183.61,Clothing,59,Female,149454,Chicago,14,14,1
390,4099,2023-09-01,433.28,Electronics,78,Male,23612,Los Angeles,6,94,2
699,8018,2023-11-18,39.7,Home & Garden,47,Female,32997,Chicago,25,11,4
789,5210,2023-12-21,402.29,Electronics,32,Male,133241,Chicago,12,23,5
919,4786,2024-03-17,103.88,Home & Garden,65,Female,77226,New York,23,29,3
535,5020,2023-12-23,78.69,Electronics,70,Female,73030,New York,29,59,8
879,4764,2023-11-07,236.69,Electronics,64,Female,68384,Los Angeles,30,23,9
654,6653,2023-05-17,405.93,Home & Garden,76,Male,58841,Los Angeles,1,78,2
983,4303,2023-06-24,34.79,Home & Garden,59,Male,52327,Los Angeles,1,7,2
709,3797,2023-07-01,484.81,Electronics,75,Male,126598,Chicago,28,59,10
150,6702,2023-11-07,209.14,Clothing,53,Male,140467,Chicago,28,13,8
133,6144,2023-07-04,433.68,Electronics,48,Male,75424,Houston,29,42,2
359,6109,2023-07-17,195.7,Clothing,37,Female,94275,Chicago,2,92,6
59,2148,2023-10-05,463.99,Clothing,46,Female,132584,Chicago,13,75,10
992,4932,2024-02-02,217.27,Home & Garden,39,Female,55497,Houston,5,63,7
865,9685,2024-02-08,85.85,Clothing,39,Male,108515,New York,7,39,3
947,6751,2023-04-06,484.67,Home & Garden,26,Male,41147,Houston,25,120,5
953,3450,2023-10-23,376.51,Electronics,24,Male,68940,Chicago,24,68,6
57,7419,2024-03-08,296.25,Home & Garden,39,Male,77924,New York,7,7,9
320,3857,2023-04-10,37.87,Home & Garden,78,Male,32552,Chicago,16,20,8
985,4570,2023-04-18,427.16,Electronics,79,Male,83274,Houston,15,72,5
894,7483,2023-05-19,340.85,Electronics,49,Female,45349,Houston,16,33,10
364,4672,2023-12-09,68.74,Home & Garden,45,Male,127560,Chicago,3,24,9
835,9325,2023-05-21,293.67,Electronics,51,Male,47992,Houston,21,20,10
477,7970,2023-06-28,215.42,Home & Garden,30,Female,51640,Houston,16,87,1
384,8769,2023-10-19,468.01,Electronics,63,Female,145842,New York,16,68,10
607,1286,2023-10-17,126.96,Clothing,74,Male,31987,Chicago,1,110,1
447,5931,2023-11-04,339.13,Clothing,79,Female,121513,New York,13,46,8
889,3477,2023-09-18,164.93,Electronics,44,Male,111667,New York,29,5,3
42,2016,2023-03-28,234.56,Home & Garden,79,Male,126295,New York,16,12,4
486,1613,2023-09-01,45.9,Electronics,62,Female,132424,Los Angeles,28,114,1
331,6948,2023-07-08,74.9,Clothing,59,Male,55942,New York,27,113,6
522,8049,2024-02-22,440.84,Clothing,77,Female,111992,Los Angeles,10,58,3
326,5346,2024-01-19,87.3,Home & Garden,74,Female,26847,Los Angeles,9,98,4
927,2665,2023-07-14,309.72,Home & Garden,39,Male,34325,Los Angeles,12,49,6
395,6946,2023-05-04,337.25,Home & Garden,71,Female,49721,New York,19,71,8
561,2262,2023-10-08,466.56,Electronics,22,Male,33390,New York,14,56,7
356,5081,2023-07-21,139.59,Electronics,47,Male,50066,Chicago,19,51,3
306,5164,2023-12-14,143.45,Home & Garden,33,Male,84862,Los Angeles,16,115,7
812,3748,2024-02-22,361.63,Electronics,30,Female,121497,Houston,10,19,4
400,4857,2024-01-21,257.65,Clothing,45,Male,65550,Chicago,5,55,7
239,4502,2023-04-08,55.23,Clothing,75,Female,66097,Los Angeles,16,40,9
33,7238,2024-03-06,31.6,Clothing,55,Male,148571,Chicago,3,54,7
451,8987,2023-08-30,322.19,Clothing,26,Male,32976,New York,22,27,8
432,7813,2023-07-02,373.2,Home & Garden,23,Female,75154,Houston,29,55,3
260,7944,2023-05-20,284.84,Electronics,60,Male,46156,New York,5,89,4
297,7866,2024-01-27,473.07,Home & Garden,73,Male,143014,Houston,25,120,3
766,5008,2023-05-27,277.34,Clothing,21,Male,82509,Los Angeles,16,12,10
331,8685,2023-11-28,220.6,Electronics,67,Female,107438,Los Angeles,6,40,5
765,3886,2023-09-21,188.68,Electronics,35,Female,72144,Chicago,27,110,7
818,3073,2023-04-27,112.94,Electronics,71,Male,29024,New York,30,15,10
516,8423,2023-09-05,183.3,Home & Garden,59,Female,118032,New York,30,59,8
310,4673,2023-10-13,487.18,Home & Garden,79,Male,37087,New York,18,26,9
651,2782,2023-05-08,463.62,Electronics,60,Male,145242,Chicago,23,63,7
587,8723,2023-11-05,488.34,Electronics,41,Female,22885,Houston,13,11,9
153,5511,2023-11-01,22.15,Home & Garden,71,Female,64038,Houston,25,99,2
550,2299,2023-03-19,393.37,Clothing,70,Male,140346,New York,21,99,5
844,5073,2024-02-12,140.73,Home & Garden,41,Male,133516,New York,6,99,9
331,3541,2023-07-12,197.45,Electronics,41,Female,63127,Houston,2,93,2
486,1228,2023-05-24,118.99,Clothing,19,Female,54200,New York,13,15,3
308,3681,2024-01-17,159.54,Electronics,47,Male,58961,Chicago,5,86,10
414,7273,2023-08-11,21.6,Electronics,40,Female,52403,New York,29,16,3
809,8644,2023-11-21,170.85,Electronics,48,Female,127064,Chicago,9,42,6
561,6754,2023-04-19,182.06,Home & Garden,29,Female,117703,Chicago,29,112,9
348,3375,2023-11-27,342.96,Home & Garden,73,Female,87483,New York,30,30,9
768,2003,2024-02-20,470.23,Electronics,79,Female,32912,Houston,24,17,2
18,8769,2024-02-16,97.5,Clothing,51,Male,37347,Chicago,4,118,2
168,1749,2023-05-03,63.12,Clothing,56,Female,92518,Los Angeles,1,79,3
779,5810,2024-03-08,366.99,Clothing,57,Female,25185,Chicago,29,78,7
108,8575,2024-01-19,307.04,Home & Garden,64,Male,102470,New York,28,32,3
326,3213,2023-07-07,198.75,Home & Garden,26,Male,83131,Los Angeles,23,57,2
955,5396,2023-11-11,134.81,Home & Garden,35,Female,103000,New York,23,22,7
932,9556,2024-01-28,10.83,Home & Garden,77,Male,69439,Los Angeles,7,106,8
106,3318,2023-04-04,188.47,Electronics,69,Female,60817,Los Angeles,21,33,3
970,1379,2023-05-22,315.35,Home & Garden,21,Male,64823,New York,6,88,2
65,4521,2023-07-24,362.68,Clothing,40,Female,98457,Houston,30,113,6
296,7326,2023-04-22,336.78,Clothing,41,Female,27227,Los Angeles,18,34,1
547,8604,2024-02-09,351.63,Home & Garden,25,Male,145662,New York,5,61,7
137,3032,2024-03-05,104.0,Home & Garden,30,Female,112470,New York,9,35,3
409,8730,2023-11-20,341.89,Electronics,29,Female,98915,Chicago,12,88,6
408,3203,2024-02-17,208.98,Electronics,67,Female,69259,New York,5,81,5
23,9097,2023-05-04,150.59,Clothing,42,Female,54012,New York,28,41,5
285,3200,2023-11-07,237.84,Clothing,52,Male,145625,Chicago,1,83,4
644,2396,2023-03-20,260.48,Home & Garden,31,Male,82189,New York,28,39,8
717,7596,2023-04-20,332.84,Clothing,74,Female,77341,Houston,28,57,5
845,7858,2024-01-09,55.76,Electronics,71,Female,24575,New York,27,68,9
968,3000,2023-11-25,120.07,Electronics,69,Male,43078,New York,3,80,8
351,4148,2023-11-16,21.97,Electronics,54,Female,131130,Los Angeles,1,60,3
676,3190,2023-08-16,309.52,Electronics,44,Female,71730,Chicago,7,19,10
294,4952,2023-04-24,213.08,Home & Garden,69,Male,64990,Houston,23,96,2
445,4035,2023-11-20,361.99,Clothing,72,Female,147415,New York,7,51,6
970,9139,2023-07-26,205.83,Electronics,26,Male,146591,Houston,24,32,2
374,1345,2023-10-21,447.4,Electronics,36,Female,102345,Los Angeles,1,40,4
948,6057,2023-06-10,117.23,Home & Garden,20,Female,123451,Los Angeles,5,59,10
373,4601,2023-12-30,34.61,Electronics,69,Male,47185,Los Angeles,18,108,2
302,9112,2023-09-28,233.67,Clothing,51,Female,76985,Houston,20,19,3
829,4805,2024-02-10,475.52,Clothing,47,Female,126072,Los Angeles,5,91,9
757,2071,2023-11-14,416.98,Home & Garden,45,Female,111371,Chicago,21,58,7
133,6952,2023-11-16,449.63,Home & Garden,79,Female,54205,Houston,18,73,10
727,2742,2023-08-09,230.53,Electronics,60,Female,86917,Chicago,12,77,1
371,7799,2024-01-22,385.25,Home & Garden,20,Female,30074,Chicago,10,39,7
358,7445,2024-03-02,317.11,Clothing,18,Female,118030,Houston,18,73,4
390,2579,2024-02-13,47.97,Clothing,47,Male,88717,New York,13,95,5
252,3360,2024-02-06,143.14,Clothing,72,Male,76671,Los Angeles,23,96,6
386,2270,2023-11-06,77.8,Electronics,22,Female,133239,Chicago,29,105,1
214,4227,2023-11-07,350.04,Home & Garden,73,Male,138736,Chicago,10,45,4
779,4077,2023-09-20,41.47,Clothing,36,Female,105646,Los Angeles,6,103,1
537,1859,2023-11-06,275.88,Clothing,30,Male,44812,Chicago,15,5,10
406,6708,2024-02-06,111.35,Clothing,75,Female,65122,New York,13,9,2
763,3812,2023-06-08,453.37,Home & Garden,50,Male,29049,Houston,4,93,3
683,5317,2024-01-13,429.8,Home & Garden,80,Female,48461,Los Angeles,6,89,8
310,3402,2023-07-17,243.72,Clothing,49,Female,141304,Chicago,2,20,4
924,8130,2023-04-05,379.2,Clothing,44,Male,35414,New York,10,108,3
221,9288,2023-10-29,249.23,Clothing,74,Female,68571,Los Angeles,6,48,10
954,4525,2023-11-12,247.96,Clothing,48,Female,147124,Chicago,22,89,3
508,8537,2024-01-27,337.75,Clothing,27,Male,140029,Chicago,10,72,1
232,5891,2023-06-01,421.85,Electronics,63,Male,147350,New York,27,38,4
517,7988,2024-03-16,454.4,Home & Garden,18,Male,69339,Chicago,16,20,4
432,5012,2023-04-20,51.13,Clothing,42,Male,58985,Chicago,24,116,10
682,7453,2023-09-14,434.76,Electronics,32,Male,143000,Chicago,25,112,9
910,6442,2023-07-02,137.48,Clothing,68,Male,122276,Houston,18,61,3
230,4843,2023-12-01,232.8,Clothing,57,Female,119537,Los Angeles,19,119,1
219,5357,2023-09-15,146.35,Clothing,24,Female,141939,New York,16,79,9
551,4145,2023-11-10,419.11,Clothing,23,Male,88491,Chicago,24,15,9
672,9464,2023-05-15,377.02,Electronics,77,Female,73115,Houston,30,8,1
31,4500,2024-02-05,119.87,Electronics,59,Male,132800,Houston,1,5,3
285,3594,2023-05-22,379.57,Electronics,48,Male,44841,Chicago,30,77,4
189,1737,2024-02-19,421.22,Home & Garden,41,Male,142911,Chicago,6,83,2
266,8763,2024-02-21,126.89,Clothing,38,Male,31696,Chicago,28,90,7
275,9466,2023-06-04,286.35,Electronics,56,Female,106763,Chicago,24,72,5
174,4008,2023-04-21,352.74,Clothing,35,Male,102661,Chicago,12,48,1
579,1681,2024-03-12,306.89,Home & Garden,45,Male,141410,Houston,9,95,4
979,1688,2023-10-05,391.12,Electronics,31,Female,72696,Chicago,20,101,4
362,5400,2023-08-24,62.97,Electronics,75,Female,95576,Chicago,22,51,2
692,4860,2023-11-21,292.14,Clothing,65,Female,23618,Los Angeles,14,99,4
813,7779,2023-06-21,471.32,Electronics,18,Male,139920,Los Angeles,3,39,3
27,3023,2023-12-15,300.13,Home & Garden,29,Male,117046,Houston,15,23,9
291,4658,2023-11-05,59.93,Clothing,67,Male,81083,Chicago,23,88,5
484,1948,2023-06-02,400.15,Home & Garden,39,Male,124480,Houston,10,118,10
128,1789,2024-03-16,180.13,Clothing,26,Female,145161,Los Angeles,3,62,1
89,4107,2023-05-21,43.79,Home & Garden,47,Female,145852,New York,15,59,6
306,3946,2023-06-12,16.2,Clothing,40,Female,137550,Chicago,21,69,6
393,5692,2023-11-03,61.71,Clothing,45,Female,25293,New York,19,32,2
653,3683,2023-12-06,356.58,Clothing,68,Male,138432,Los Angeles,20,60,3
852,4661,2024-01-06,369.56,Home & Garden,19,Female,109067,Houston,5,35,8
910,3647,2023-12-15,311.8,Home & Garden,41,Female,117277,Chicago,16,32,5
656,8282,2024-02-11,237.79,Home & Garden,59,Female,81881,New York,24,120,5
50,9965,2024-03-09,167.93,Electronics,28,Male,43089,Chicago,9,47,8
235,4700,2023-08-28,146.67,Clothing,42,Male,53168,Houston,10,10,8
903,2565,2023-08-25,377.73,Home & Garden,77,Female,60510,Los Angeles,15,10,2
933,8476,2023-03-19,174.83,Clothing,20,Female,40262,Los Angeles,4,77,1
26,4052,2023-08-15,99.1,Electronics,34,Female,101050,Houston,7,99,5
413,1774,2023-04-18,400.94,Clothing,30,Female,101894,Houston,8,85,7
242,7107,2023-11-27,441.36,Home & Garden,31,Female,116746,New York,25,36,3
687,1513,2024-03-09,282.34,Home & Garden,49,Male,83245,Chicago,15,12,7
322,9194,2024-02-08,51.95,Home & Garden,25,Female,47999,New York,11,110,6
74,4334,2023-10-08,249.4,Electronics,37,Female,102379,Chicago,7,17,8
213,1071,2024-01-20,326.49,Clothing,36,Female,51401,Los Angeles,3,48,10
42,6786,2024-02-21,398.54,Electronics,22,Female,111631,Chicago,6,72,7
774,2952,2024-02-21,118.58,Home & Garden,59,Male,148608,Chicago,24,55,9
409,9226,2023-12-14,160.04,Home & Garden,44,Female,101983,Chicago,21,93,1
186,2977,2023-08-02,241.9,Home & Garden,29,Female,131605,New York,8,62,8
247,1108,2024-02-23,218.5,Home & Garden,35,Female,146193,Los Angeles,3,98,10
526,7148,2024-01-22,182.39,Clothing,64,Female,128706,Houston,18,117,5
998,8289,2023-07-06,160.25,Electronics,65,Male,118789,New York,30,100,8
726,3628,2024-01-28,363.43,Clothing,78,Male,60176,Houston,5,78,5
669,3991,2023-12-25,374.01,Home & Garden,34,Male,123660,New York,27,8,7
654,8124,2023-03-29,103.86,Home & Garden,60,Female,47010,Houston,13,10,2
733,3950,2023-06-14,145.48,Home & Garden,56,Female,120921,Los Angeles,9,41,9
134,1028,2024-01-18,490.45,Electronics,78,Female,121045,Houston,26,23,7
675,7027,2023-12-09,121.47,Electronics,75,Female,23395,Los Angeles,12,74,8
476,9966,2023-03-19,16.93,Home & Garden,78,Male,75811,Los Angeles,10,85,7
353,3739,2023-09-22,144.41,Electronics,76,Female,26665,Houston,6,69,4
985,4015,2023-12-26,351.73,Electronics,56,Female,75223,Chicago,28,66,8
711,3791,2023-08-19,60.27,Electronics,59,Female,23573,Los Angeles,19,117,8
64,5916,2023-12-06,240.0,Clothing,19,Female,105774,Los Angeles,9,12,2
857,6870,2023-09-06,100.34,Electronics,67,Female,55896,Chicago,2,30,10
990,5166,2023-06-03,471.12,Clothing,65,Male,40016,Houston,26,57,10
18,1790,2023-10-22,412.84,Clothing,37,Female,21929,New York,2,44,1
