transaction_id,product_id,product_name,category,quantity,unit_price,total_price,customer_id,timestamp,region
1,2002,Smartphone,Electronics,10,500,5000,153,2023-12-15 06:30:31,North
2,6006,T-shirt,Fashion,3,20,60,149,2023-07-17 06:30:31,South
3,6006,T-shirt,Fashion,8,20,160,159,2023-05-07 06:30:31,East
4,6006,T-shirt,Fashion,5,20,100,111,2024-01-01 06:30:31,North
5,4004,Sneakers,Fashion,10,50,500,195,2023-11-19 06:30:31,South
6,5005,Sunglasses,Fashion,9,30,270,134,2024-01-25 06:30:31,East
7,5005,Sunglasses,Fashion,6,30,180,181,2024-01-28 06:30:31,South
8,1001,Laptop,Electronics,5,800,4000,134,2023-06-23 06:30:31,North
9,4004,Sneakers,Fashion,5,50,250,104,2023-09-06 06:30:31,South
10,1001,Laptop,Electronics,10,800,8000,196,2024-02-25 06:30:31,South
11,5005,Sunglasses,Fashion,6,30,180,161,2023-11-26 06:30:31,East
12,5005,Sunglasses,Fashion,8,30,240,121,2023-07-28 06:30:31,South
13,6006,T-shirt,Fashion,7,20,140,158,2023-08-21 06:30:31,West
14,5005,Sunglasses,Fashion,5,30,150,155,2023-12-06 06:30:31,West
15,2002,Smartphone,Electronics,1,500,500,189,2023-07-31 06:30:31,North
16,4004,Sneakers,Fashion,4,50,200,148,2023-04-13 06:30:31,South
17,5005,Sunglasses,Fashion,10,30,300,104,2023-08-23 06:30:31,West
18,2002,Smartphone,Electronics,6,500,3000,197,2023-05-20 06:30:31,North
19,2002,Smartphone,Electronics,1,500,500,170,2023-06-17 06:30:31,West
20,3003,Headphones,Electronics,1,100,100,156,2023-08-18 06:30:31,West
21,5005,Sunglasses,Fashion,4,30,120,156,2024-02-21 06:30:31,West
22,3003,Headphones,Electronics,6,100,600,162,2024-01-17 06:30:31,West
23,5005,Sunglasses,Fashion,5,30,150,176,2023-09-10 06:30:31,North
24,5005,Sunglasses,Fashion,10,30,300,183,2023-12-31 06:30:31,West
25,6006,T-shirt,Fashion,8,20,160,101,2023-04-15 06:30:31,North
26,3003,Headphones,Electronics,7,100,700,118,2023-04-06 06:30:31,East
27,2002,Smartphone,Electronics,1,500,500,146,2023-12-14 06:30:31,North
28,4004,Sneakers,Fashion,8,50,400,121,2024-03-01 06:30:31,West
29,1001,Laptop,Electronics,7,800,5600,122,2023-03-22 06:30:31,West
30,1001,Laptop,Electronics,3,800,2400,194,2023-09-11 06:30:31,North
